1,2,3,4,5,6
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-218.75,-31.25,-31.25,-31.25,-31.25,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
-62.5,0,0,-31.25,0,0
62.5,31.25,31.25,0,15.625,0
62.5,31.25,31.25,0,15.625,0
62.5,31.25,31.25,0,15.625,0
62.5,31.25,31.25,0,15.625,0
62.5,31.25,31.25,0,15.625,0
62.5,31.25,31.25,0,15.625,0
62.5,31.25,31.25,0,15.625,0
62.5,31.25,31.25,0,15.625,0
62.5,31.25,31.25,0,15.625,0
62.5,31.25,31.25,0,15.625,0
62.5,31.25,31.25,0,15.625,0
62.5,31.25,31.25,0,15.625,0
62.5,31.25,31.25,0,15.625,0
62.5,31.25,31.25,0,15.625,0
62.5,31.25,31.25,0,15.625,0
62.5,31.25,31.25,0,15.625,0
62.5,31.25,0,0,15.625,0
62.5,31.25,0,0,15.625,0
62.5,31.25,0,0,15.625,0
62.5,31.25,0,0,15.625,0
62.5,31.25,0,0,15.625,0
62.5,31.25,0,0,15.625,0
62.5,31.25,0,0,15.625,0
15.625,15.625,-15.625,0,0,0
1000,343.75,312.5,0,0,0
1000,343.75,312.5,0,0,0
1000,343.75,312.5,0,0,0
1000,343.75,312.5,0,0,0
1000,343.75,312.5,0,0,0
1093.75,359.375,328.125,15.625,0,15.625
1093.75,359.375,328.125,15.625,0,15.625
1093.75,359.375,328.125,15.625,0,15.625
1093.75,359.375,328.125,15.625,0,15.625
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1468.75,421.875,453.125,140.625,125,78.125
1031.25,359.375,390.625,78.125,62.5,15.625
1031.25,359.375,390.625,78.125,62.5,15.625
1031.25,359.375,390.625,78.125,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
812.5,328.125,328.125,46.875,62.5,15.625
765.625,312.5,312.5,46.875,62.5,15.625
765.625,312.5,312.5,46.875,62.5,15.625
765.625,312.5,312.5,46.875,62.5,15.625
765.625,312.5,312.5,46.875,62.5,15.625
765.625,312.5,312.5,46.875,62.5,15.625
765.625,312.5,312.5,46.875,62.5,15.625
765.625,312.5,312.5,46.875,62.5,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
875,328.125,328.125,78.125,78.125,15.625
687.5,296.875,265.625,46.875,78.125,15.625
312.5,171.875,140.625,-15.625,78.125,15.625
312.5,171.875,140.625,-15.625,78.125,15.625
312.5,171.875,140.625,-15.625,78.125,15.625
421.875,203.125,171.875,15.625,93.75,15.625
421.875,203.125,171.875,15.625,93.75,15.625
421.875,203.125,171.875,15.625,93.75,15.625
0,109.375,78.125,-78.125,0,15.625
0,109.375,78.125,-78.125,0,15.625
0,109.375,78.125,-78.125,0,15.625
0,109.375,78.125,-78.125,0,15.625
0,109.375,78.125,-78.125,0,15.625
0,109.375,78.125,-78.125,0,15.625
0,109.375,78.125,-78.125,0,15.625
0,109.375,78.125,-78.125,0,15.625
-156.25,78.125,46.875,-93.75,-15.625,0
-156.25,78.125,46.875,-93.75,-15.625,0
