Transaction Type,Account,ClOrdID,Sec ID,Side,Qty,TPx,Exec Broker,Clearing Broker,Give-up Ref
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.75000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.75000000,MS,MS,00000005
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.78000000,MS,MS,00000004
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.79000000,MS,MS,00000005
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.79000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.79000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.82000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.82000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.82000000,MS,MS,00000004
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.84000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.84000000,MS,MS,00000006
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.85000000,MS,MS,00000005
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.85000000,MS,MS,00000005
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.86000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.87000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.88000000,MS,MS,00000006
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.88000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.88000000,MS,MS,00000005
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.88000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.88000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.88000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.88000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.88000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,3,64.88000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.88000000,MS,MS,00000002
