CALENDAR DATE,CALENDAR TIME,SYMBO,LAST PRICE,LAST SHARES,SIDE
05/26/09,39959.63546,F2 ZN\M09,118.578125,2,0
05/26/09,39959.63894,F2 ZN\M09,118.609375,22,1
05/26/09,39959.63907,F2 ZN\M09,118.625,4,1
05/26/09,39959.6424,F2 ZN\M09,118.625,1,0
05/26/09,39959.64587,F2 ZN\M09,118.609375,2,1
05/26/09,39959.64934,F2 ZN\M09,118.53125,5,0
05/26/09,39959.6494,F2 ZN\M09,118.515625,10,0
05/26/09,39959.6494,F2 ZN\M09,118.515625,12,0
05/26/09,39959.65977,F2 ZN\M09,118.40625,1,1
05/26/09,39959.65977,F2 ZN\M09,118.40625,1,1
05/26/09,39959.66323,F2 ZN\M09,118.390625,2,0
05/26/09,39959.6667,F2 ZN\M09,118.328125,2,1
05/26/09,39959.67018,F2 ZN\M09,118.359375,4,0
05/26/09,39959.67365,F2 ZN\M09,118.328125,7,1
05/26/09,39959.67365,F2 ZN\M09,118.328125,8,1
05/26/09,39959.67365,F2 ZN\M09,118.328125,5,1
05/26/09,39959.67365,F2 ZN\M09,118.328125,3,1
05/26/09,39959.67365,F2 ZN\M09,118.328125,1,1
05/26/09,39959.67713,F2 ZN\M09,118.375,1,1
05/26/09,39959.6806,F2 ZN\M09,118.375,2,1
05/26/09,39959.6806,F2 ZN\M09,118.375,4,1
05/26/09,39959.68407,F2 ZN\M09,118.390625,7,0
05/26/09,39959.68753,F2 ZN\M09,118.34375,2,1
05/26/09,39959.68753,F2 ZN\M09,118.34375,1,1
05/26/09,39959.69101,F2 ZN\M09,118.328125,27,0
05/26/09,39959.69448,F2 ZN\M09,118.3125,1,1
05/26/09,39959.69448,F2 ZN\M09,118.3125,1,1
05/26/09,39959.69795,F2 ZN\M09,118.328125,22,1
05/26/09,39959.70143,F2 ZN\M09,118.3125,4,1
05/26/09,39959.7049,F2 ZN\M09,118.328125,4,0
05/27/09,39960.11116,F2 ZN\M09,118.421875,12,1
05/27/09,39960.11464,F2 ZN\M09,118.4375,6,0
05/27/09,39960.11464,F2 ZN\M09,118.4375,2,0
05/27/09,39960.11464,F2 ZN\M09,118.4375,3,0
05/27/09,39960.11464,F2 ZN\M09,118.4375,1,0
05/27/09,39960.11809,F2 ZN\M09,118.421875,8,0
05/27/09,39960.12156,F2 ZN\M09,118.4375,8,1
05/27/09,39960.12503,F2 ZN\M09,118.421875,13,1
05/27/09,39960.12851,F2 ZN\M09,118.40625,2,0
05/27/09,39960.12851,F2 ZN\M09,118.40625,3,0
05/27/09,39960.12851,F2 ZN\M09,118.40625,3,0
05/27/09,39960.12851,F2 ZN\M09,118.40625,3,0
05/27/09,39960.12851,F2 ZN\M09,118.40625,3,0
05/27/09,39960.12851,F2 ZN\M09,118.40625,3,0
05/27/09,39960.12851,F2 ZN\M09,118.40625,3,0
05/27/09,39960.12851,F2 ZN\M09,118.40625,4,0
05/27/09,39960.12851,F2 ZN\M09,118.40625,2,0
05/27/09,39960.13198,F2 ZN\M09,118.375,3,0
05/27/09,39960.13545,F2 ZN\M09,118.359375,5,0
05/27/09,39960.13545,F2 ZN\M09,118.359375,1,0
05/27/09,39960.13892,F2 ZN\M09,118.34375,7,1
05/27/09,39960.13892,F2 ZN\M09,118.34375,3,1
05/27/09,39960.13892,F2 ZN\M09,118.34375,3,1
05/27/09,39960.13892,F2 ZN\M09,118.34375,3,1
05/27/09,39960.13892,F2 ZN\M09,118.34375,5,1
05/27/09,39960.13892,F2 ZN\M09,118.34375,1,1
05/27/09,39960.14239,F2 ZN\M09,118.359375,2,1
05/27/09,39960.14587,F2 ZN\M09,118.375,6,1
05/27/09,39960.14934,F2 ZN\M09,118.359375,1,0
05/27/09,39960.14934,F2 ZN\M09,118.359375,5,0
05/27/09,39960.14934,F2 ZN\M09,118.359375,3,0
05/27/09,39960.14934,F2 ZN\M09,118.359375,3,0
05/27/09,39960.14934,F2 ZN\M09,118.359375,3,0
05/27/09,39960.14934,F2 ZN\M09,118.359375,4,0
05/27/09,39960.14934,F2 ZN\M09,118.359375,3,0
05/27/09,39960.14934,F2 ZN\M09,118.359375,1,0
05/27/09,39960.15282,F2 ZN\M09,118.328125,3,1
05/27/09,39960.15629,F2 ZN\M09,118.328125,15,1
05/27/09,39960.15976,F2 ZN\M09,118.34375,3,1
05/27/09,39960.16323,F2 ZN\M09,118.359375,6,0
05/27/09,39960.18407,F2 ZN\M09,118.34375,14,0
05/27/09,39960.18754,F2 ZN\M09,118.359375,6,1
05/27/09,39960.18754,F2 ZN\M09,118.359375,1,1
05/27/09,39960.18754,F2 ZN\M09,118.359375,1,1
05/27/09,39960.18754,F2 ZN\M09,118.359375,8,1
05/27/09,39960.18754,F2 ZN\M09,118.359375,4,1
05/27/09,39960.19101,F2 ZN\M09,118.375,5,0
05/27/09,39960.19448,F2 ZN\M09,118.375,1,0
05/27/09,39960.20143,F2 ZN\M09,118.359375,10,0
05/27/09,39960.20143,F2 ZN\M09,118.359375,2,0
05/27/09,39960.20143,F2 ZN\M09,118.359375,2,0
05/27/09,39960.2049,F2 ZN\M09,118.359375,1,1
05/27/09,39960.2049,F2 ZN\M09,118.359375,8,1
05/27/09,39960.2049,F2 ZN\M09,118.359375,5,1
05/27/09,39960.20837,F2 ZN\M09,118.40625,11,1
05/27/09,39960.21185,F2 ZN\M09,118.421875,3,0
05/27/09,39960.21185,F2 ZN\M09,118.421875,5,0
05/27/09,39960.21535,F2 ZN\M09,118.421875,8,0
