0.000000,0.530000,0.170000,0.140000,0.090000,0.060000,0.010000
39959.000000,-3687.500000,-1031.250000,-859.375000,-593.750000,-406.250000,-62.500000
39960.000000,-10796.875000,-3890.625000,-3578.125000,-2015.625000,-1734.375000,-187.500000
39961.000000,-14796.875000,-4875.000000,-4078.125000,-2609.375000,-1906.250000,-312.500000
39972.000000,-1000.000000,-625.000000,187.500000,-2609.375000,-1593.750000,-109.375000
39973.000000,-1968.750000,-1046.875000,-859.375000,-2312.500000,-1187.500000,-93.750000
39974.000000,-156.250000,-656.250000,-562.500000,-1468.750000,-562.500000,-46.875000
39975.000000,-4906.250000,-1718.750000,-1640.625000,-1953.125000,-796.875000,-46.875000
39980.000000,-5921.875000,-2078.125000,-1765.625000,-1187.500000,-765.625000,-156.250000
39981.000000,-7015.625000,-2265.625000,-1843.750000,-1296.875000,-890.625000,-140.625000
39982.000000,-5921.875000,-1937.500000,-1609.375000,-1015.625000,-640.625000,-93.750000
40009.000000,-16656.250000,-5640.625000,-4718.750000,-1687.500000,-1312.500000,-312.500000
40010.000000,-12656.250000,-4015.625000,-3390.625000,-2015.625000,-1421.875000,-234.375000
40011.000000,-6453.125000,-2234.375000,-1843.750000,-1156.250000,-765.625000,-125.000000
40014.000000,-10531.250000,-3390.625000,-2796.875000,-1796.875000,-1187.500000,-203.125000
40015.000000,-15515.625000,-5015.625000,-4125.000000,-2687.500000,-1796.875000,-312.500000
40016.000000,-9421.875000,-2968.750000,-2437.500000,-1578.125000,-1046.875000,-171.875000
40017.000000,-10937.500000,-3515.625000,-2890.625000,-1843.750000,-1250.000000,-218.750000
40018.000000,-10796.875000,-3515.625000,-2890.625000,-1828.125000,-1250.000000,-218.750000
40021.000000,-11281.250000,-3593.750000,-2937.500000,-1921.875000,-1296.875000,-187.500000
40022.000000,-14375.000000,-4828.125000,-4078.125000,-2531.250000,-1750.000000,-328.125000
40023.000000,-18234.375000,-6125.000000,-5281.250000,-4046.875000,-2640.625000,-390.625000
40024.000000,-15031.250000,-4765.625000,-3703.125000,-2468.750000,-1500.000000,-265.625000
40025.000000,-16906.250000,-5406.250000,-4406.250000,-2796.875000,-1906.250000,-312.500000
40028.000000,-19468.750000,-6234.375000,-5156.250000,-3250.000000,-2187.500000,-312.500000
40029.000000,-17390.625000,-4546.875000,-3328.125000,-1203.125000,-1062.500000,-375.000000
40030.000000,-14312.500000,-3671.875000,-3078.125000,-2203.125000,-1484.375000,-234.375000
40031.000000,-8953.125000,-2875.000000,-2453.125000,-1578.125000,-1078.125000,-203.125000
40032.000000,-1421.875000,578.125000,546.875000,1109.375000,671.875000,390.625000
40035.000000,-2296.875000,-31.250000,453.125000,1203.125000,1171.875000,468.750000
40036.000000,203.125000,906.250000,1546.875000,1703.125000,1359.375000,125.000000
40037.000000,-2406.250000,1156.250000,1828.125000,1765.625000,1125.000000,125.000000
40038.000000,2625.000000,3250.000000,4781.250000,4750.000000,3218.750000,2046.875000
40039.000000,-1046.875000,1843.750000,3546.875000,3828.125000,3171.875000,765.625000
40042.000000,5156.250000,5000.000000,6078.125000,5671.875000,3890.625000,390.625000
40043.000000,1984.375000,3421.875000,4921.875000,4062.500000,2140.625000,140.625000
40044.000000,515.625000,2359.375000,4609.375000,2296.875000,1562.500000,500.000000
40045.000000,-3984.375000,1875.000000,2781.250000,1250.000000,484.375000,31.250000
40046.000000,-5015.625000,1000.000000,468.750000,31.250000,15.625000,-31.250000
40049.000000,-7062.500000,-750.000000,-1078.125000,-640.625000,-609.375000,-78.125000
40050.000000,-7890.625000,-859.375000,-656.250000,-578.125000,-421.875000,46.875000
40051.000000,-14296.875000,-2765.625000,-2453.125000,-1750.000000,-1375.000000,-250.000000
40052.000000,-20390.625000,-5093.750000,-4343.750000,-2953.125000,-2187.500000,-375.000000
40053.000000,-21796.875000,-6250.000000,-5218.750000,-3375.000000,-2296.875000,-328.125000
40056.000000,-13421.875000,-6234.375000,-4140.625000,-3031.250000,-1921.875000,-296.875000
40057.000000,-13375.000000,-5312.500000,-4109.375000,-2750.000000,-1734.375000,-281.250000
40058.000000,-12718.750000,-4406.250000,-3625.000000,-2218.750000,-1453.125000,-234.375000
40059.000000,-16531.250000,-5296.875000,-4328.125000,-2843.750000,-1921.875000,-312.500000
40060.000000,-13859.375000,-4031.250000,-2968.750000,-1734.375000,-1000.000000,265.625000
40063.000000,-9828.125000,-500.000000,78.125000,437.500000,500.000000,640.625000
40064.000000,-21000.000000,-6890.625000,-5781.250000,-3750.000000,-2812.500000,-484.375000
40065.000000,-16359.375000,-5546.875000,-4593.750000,-2953.125000,-1937.500000,-312.500000
40066.000000,26953.125000,9031.250000,7390.625000,4890.625000,3359.375000,484.375000
40067.000000,32609.375000,10953.125000,9000.000000,5734.375000,3812.500000,625.000000
40070.000000,156.250000,328.125000,359.375000,890.625000,421.875000,156.250000
40071.000000,-6234.375000,-1265.625000,-703.125000,-437.500000,-265.625000,109.375000
40072.000000,-23625.000000,-7406.250000,-6171.875000,-4000.000000,-2640.625000,-421.875000
40073.000000,5875.000000,2765.625000,2437.500000,1437.500000,921.875000,125.000000
40074.000000,-23593.750000,-7437.500000,-6078.125000,-3609.375000,-2453.125000,-218.750000
40077.000000,-31703.125000,-10234.375000,-8359.375000,-5390.625000,-3593.750000,-593.750000
40078.000000,-21031.250000,-7000.000000,-5812.500000,-3750.000000,-2437.500000,-406.250000
40079.000000,-10171.875000,-3312.500000,-2859.375000,-1703.125000,-1156.250000,-203.125000
